src	trg	degree
Gobs	Mike Lowery	35
Gobs	Mads Langer	100
Gobs	Jamaika	71
Gobs	Hkeem	36
Gobs	PON CHO	35
Gobs	Ericka Jane	35
Gobs	Daniel Scheffmann	36
Gobs	Ole Bjørn	38
Gobs	Malte Ebert	68
Joey Moe	Jon & Jules	92
Joey Moe	Kasper Falkenberg	89
Joey Moe	Ole Brodersen Meyer	89
Joey Moe	Kasper Larsen	89
Joey Moe	Morten Casual	88
Joey Moe	Rune Braager	88
Joey Moe	Daniel Lund Jørgensen	88
Joey Moe	Lasse Baunkilde	88
Joey Moe	Puma	90
Joey Moe	Jay Made	91
Joey Moe	Cas (DNK)	89
Joey Moe	Young (DNK)	94
Joey Moe	Tue Track	95
Joey Moe	​Johnson	94
Joey Moe	Jøden	90
Joey Moe	J-Spliff	90
Joey Moe	Per Vers	91
Joey Moe	Niarn	91
Joey Moe	Jonny Hefty	91
Joey Moe	L.O.C.	98
Joey Moe	Mester Jacob	91
Joey Moe	Pede B	274
Joey Moe	Majid	89
Joey Moe	Marwan	94
Joey Moe	Ataf Khawaja	96
Joey Moe	Alex Ambrose	90
Joey Moe	Nik & Jay	126
Joey Moe	Anders Matthesen	88
Joey Moe	Michell Berthou	88
Joey Moe	Cisilia	92
Joey Moe	Lasse Lindorff	88
Joey Moe	Thomas Sardorff	88
Joey Moe	Barbara Moleko	94
Joey Moe	Carl Altino	91
Joey Moe	Ankerstjerne	157
Joey Moe	Hooman Beats	90
Joey Moe	DIBSET	88
Joey Moe	Nexus Music	88
Joey Moe	Pete Fox	88
Joey Moe	Kay & Ndustry	88
Joey Moe	Zenia Jeanine	88
Joey Moe	Kaliber (DNK)	89
Joey Moe	Fridolin Nordsø	100
Joey Moe	Can Cetin	89
Joey Moe	AlsBeatz	89
Joey Moe	Nadia Malm	88
Joey Moe	Tony Catania	88
Joey Moe	John Larkin	88
Joey Moe	Jørgen Olsen	88
Joey Moe	Rasmus Nøhr	89
Joey Moe	MORTEN (DNK)	90
Joey Moe	Clemens	94
Joey Moe	Lupe Moe	88
Joey Moe	Danmark	88
Joey Moe	Jeanette Zeniia	88
Joey Moe	Uno Svenningsson	88
Joey Moe	Søs Fenger	90
Joey Moe	Khani	88
Joey Moe	Jeffrey (DNK)	88
Joey Moe	V (DNK)	88
Joey Moe	Wafande	95
Joey Moe	Mattias Kolstrup	88
Joey Moe	B-Case	88
Joey Moe	Nick McCord	88
Joey Moe	Mad Mark	88
Joey Moe	Claes Antonsen	88
Joey Moe	Dice (DNK)	88
Joey Moe	Saqib	89
Joey Moe	Xander Linnet	146
Joey Moe	L.I.G.A	88
Joey Moe	Peter Pilegaard	88
Joey Moe	Rasmus Thude	88
Joey Moe	Sune Starfeldt	88
Joey Moe	Jokeren	91
Joey Moe	Anne Linnet	92
Joey Moe	Lina Rafn	89
Joey Moe	Paw Lagermann	88
Joey Moe	Adam Powers	88
Joey Moe	Rocky Moe	88
Joey Moe	Thomas Volmer Shulz	88
Joey Moe	Klemmesen&Mo	88
Joey Moe	Svenstrup & Vendelboe	89
Joey Moe	13Beats	88
Joey Moe	Alexander Odden	88
Joey Moe	Allan Mortensen	88
Joey Moe	Ude Af Kontrol	104
Djämes Braun	TopGunn	95
Djämes Braun	Nonsens	18
Djämes Braun	Pilfinger	24
Djämes Braun	Specktors	18
Djämes Braun	Mette Lindberg	19
Djämes Braun	Steggerbomben	17
Djämes Braun	Shaka Loveless	22
Djämes Braun	Klumben	21
Djämes Braun	Niklas	18
Djämes Braun	Yo Johnny	18
Djämes Braun	Barbara Moleko	23
Djämes Braun	William Bry	17
Djämes Braun	Kent Pedersen	17
Djämes Braun	Marty James	17
Djämes Braun	Ude Af Kontrol	33
Djämes Braun	Fouli	25
Benjamin Hav	Albert (DNK)	92
Benjamin Hav	Lukas Graham	96
Benjamin Hav	Christopher	92
Benjamin Hav	Mads Langer	152
Benjamin Hav	Jada	92
Benjamin Hav	Don Stefano	93
Benjamin Hav	Saint clara	90
Benjamin Hav	TooManyLeftHands	89
Benjamin Hav	Pind	89
Benjamin Hav	Lasse Joen Sørensen	88
Benjamin Hav	Peter A.G.	88
Benjamin Hav	Simon Dyrberg von Spreckelsen	87
Benjamin Hav	Nonsens	88
Benjamin Hav	Emil Falk	94
Benjamin Hav	Wads	89
Benjamin Hav	Emil Kruse	125
Benjamin Hav	Skurken	96
Benjamin Hav	Sivas	109
Benjamin Hav	MellemFingaMuzik	111
Benjamin Hav	Bashir Billow	89
Benjamin Hav	Er De Sjældne	88
Benjamin Hav	JOSVA	92
Benjamin Hav	Orgi-E	100
Benjamin Hav	Artigeardit	150
Benjamin Hav	Carl Knast	91
Benjamin Hav	Cecilie Noer	88
Benjamin Hav	Katinka Band	88
Benjamin Hav	Clara Sofie	91
Benjamin Hav	LittGloss	88
Benjamin Hav	Ella Augusta	89
Benjamin Hav	Medina (DNK)	92
Benjamin Hav	HEDEGAARD	93
Benjamin Hav	Lamin	102
Benjamin Hav	Takjacob	87
Benjamin Hav	Carsten Heller	89
Benjamin Hav	KÅ (DNK)	90
Benjamin Hav	Søren Huss	88
Benjamin Hav	Marie Key	88
Benjamin Hav	Nixen	117
Benjamin Hav	Pede B	273
Benjamin Hav	Søren Jensen Buhl	88
Benjamin Hav	Tobias Rahim	144
Benjamin Hav	Esben Iversen	88
Benjamin Hav	Christian Finne	87
Benjamin Hav	Wayz (DNK)	87
Benjamin Hav	Benal	105
Benjamin Hav	DJ Noize	91
